Name;Version;License
beberlei/assert;v3.2.7;BSD-2-Clause
dflydev/fig-cookies;v1.0.2;MIT
doctrine/inflector;1.3.1;MIT
eluceo/ical;0.16.1;MIT
google/recaptcha;1.2.4;BSD-3-Clause
guzzlehttp/guzzle;6.5.5;MIT
guzzlehttp/promises;1.4.0;MIT
guzzlehttp/psr7;1.7.0;MIT
illuminate/container;v5.8.36;MIT
illuminate/contracts;v5.8.36;MIT
illuminate/database;v5.8.36;MIT
illuminate/events;v5.8.36;MIT
illuminate/support;v5.8.36;MIT
monolog/monolog;1.25.5;MIT
nesbot/carbon;2.41.5;MIT
nikic/fast-route;v1.3.0;BSD-3-Clause
paragonie/random_compat;v9.99.99;MIT
pimple/pimple;v3.2.3;MIT
psr/cache;1.0.1;MIT
psr/container;1.0.0;MIT
psr/http-message;1.0.1;MIT
psr/http-server-handler;1.0.1;MIT
psr/http-server-middleware;1.0.1;MIT
psr/log;1.1.3;MIT
psr/simple-cache;1.0.1;MIT
ralouphie/getallheaders;3.0.3;MIT
ramsey/uuid;3.9.3;MIT
slim/slim;3.12.3;MIT
symfony/polyfill-ctype;v1.19.0;MIT
symfony/polyfill-intl-idn;v1.19.0;MIT
symfony/polyfill-intl-normalizer;v1.19.0;MIT
symfony/polyfill-mbstring;v1.19.0;MIT
symfony/polyfill-php70;v1.19.0;MIT
symfony/polyfill-php72;v1.19.0;MIT
symfony/stopwatch;v3.4.46;MIT
symfony/translation;v4.4.15;MIT
symfony/translation-contracts;v1.1.10;MIT
tuupola/callable-handler;1.1.0;MIT
tuupola/server-timing-middleware;0.8.2;MIT
whichbrowser/parser;v2.0.42;MIT